Date,Open,High,Low,Close,Adj Close,Volume
2019-11-29,36.565464,36.888046,36.537003,36.546490,33.790043,9793873
2019-12-02,36.802658,36.812145,36.290321,36.328274,33.588291,15645998
2019-12-03,36.015179,36.242886,35.901329,36.100571,33.377762,20869832
2019-12-04,36.271347,36.299809,35.948769,36.185959,33.456711,14501248
2019-12-05,36.404175,36.404175,35.853889,36.081593,33.360218,13098058
2019-12-06,36.318787,36.546490,36.261860,36.328274,33.588291,12868708
2019-12-09,36.148006,36.413662,36.148006,36.356735,33.614605,15641571
2019-12-10,36.309299,36.603416,36.233398,36.508537,33.754967,19171311
2019-12-11,36.404175,36.593929,36.242886,36.261860,33.526886,15569372
2019-12-12,36.214420,36.641365,36.214420,36.565464,33.807598,13414469
2019-12-13,36.546490,36.698292,36.119545,36.366222,33.623383,16678496
2019-12-16,36.717270,37.381405,36.679317,37.134724,34.333912,24187824
2019-12-17,37.419353,37.419353,36.850094,36.907021,34.123390,29038016
2019-12-18,37.011387,37.077801,36.660343,36.897533,34.114616,27339390
2019-12-19,37.001900,37.144215,36.821632,36.973434,34.184795,22022276
2019-12-20,37.333965,37.514233,36.973434,37.220116,34.412868,58199772
2019-12-23,37.400379,37.495255,37.125237,37.305504,34.491814,17454345
2019-12-24,37.314991,37.419353,37.191650,37.277039,34.465496,5187683
2019-12-26,37.286530,37.542694,37.191650,37.362431,34.544449,9384078
2019-12-27,37.409866,37.590134,37.239090,37.305504,34.491814,10117662
2019-12-30,37.286530,37.400379,36.897533,36.916508,34.132164,11554264
2019-12-31,36.802658,37.191650,36.726753,37.172676,34.369011,15175703
2020-01-02,37.286530,37.333965,36.888046,37.134724,34.333912,16514072
2020-01-03,36.736244,37.229603,36.688805,36.935486,34.149704,14922848
2020-01-06,36.831120,37.001900,36.717270,36.888046,34.105850,15771951
2020-01-07,37.115749,37.125237,36.698292,36.764706,33.991806,20108107
2020-01-08,36.774193,37.210625,36.764706,37.058823,34.263744,16403507
2020-01-09,37.258064,37.258064,36.802658,36.897533,34.114616,21971895
2020-01-10,36.982922,37.599621,36.973434,37.466793,34.640938,21557357
2020-01-13,37.590134,37.732449,37.201138,37.390892,34.570770,15392405
2020-01-14,37.409866,38.026566,37.286530,38.017078,35.149723,20919160
2020-01-15,38.130932,38.776093,38.111954,38.586338,35.676048,23925800
2020-01-16,38.700191,38.709679,38.254269,38.529411,35.623413,16216422
2020-01-17,38.491463,38.719166,38.349148,38.434536,35.535694,23083970
2020-01-21,38.311195,38.576851,38.130932,38.273247,35.386570,23115696
2020-01-22,38.254269,38.339657,37.922199,38.130932,35.254990,18097812
2020-01-23,38.130932,38.738140,38.074005,38.624287,35.711132,27148510
2020-01-24,38.842506,38.870968,37.609108,37.779884,34.930420,34143698
2020-01-27,37.390892,38.358635,37.239090,38.102467,35.228672,31964026
2020-01-28,37.305504,37.466793,36.005692,36.185959,33.456711,70202408
2020-01-29,36.166985,36.413662,35.626186,35.654648,32.965477,34165726
2020-01-30,35.199242,35.265656,34.810246,35.170776,32.850269,32316589
2020-01-31,35.047440,35.531307,35.009487,35.332069,33.000923,33894005
2020-02-03,35.540798,36.091084,35.388992,35.588234,33.240189,20875735
2020-02-04,36.129032,36.280834,35.702087,35.759014,33.399700,31150865
2020-02-05,35.910816,36.593929,35.882355,36.214420,33.825058,29443490
2020-02-06,36.470589,36.527515,36.081593,36.299809,33.904812,21047748
2020-02-07,36.394688,36.432636,35.986717,36.100571,33.718716,21903596
2020-02-10,36.252373,36.261860,35.787476,35.872864,33.506035,19998385
2020-02-11,35.948769,36.176472,35.825428,36.138519,33.754166,16027335
2020-02-12,36.138519,36.233398,35.787476,35.806454,33.444008,22944315
2020-02-13,35.654648,35.654648,35.000000,35.037952,32.726212,22099745
2020-02-14,35.075901,35.142315,34.554081,34.639469,32.354019,21006747
2020-02-18,34.677418,34.791271,34.411766,34.459202,32.185646,17988513
2020-02-19,34.535103,34.629982,34.354839,34.373814,32.105888,17750941
2020-02-20,33.880455,34.212524,33.595825,34.013283,31.769152,42953135
2020-02-21,33.927895,33.984821,33.709679,33.889942,31.653944,32425256
2020-02-24,33.244781,33.586338,32.827324,32.893738,30.723469,37969296
2020-02-25,32.903225,32.960152,31.982922,32.191650,30.067703,41878898
2020-02-26,32.485767,33.406071,32.277039,32.941177,30.767776,47920005
2020-02-27,32.675522,33.880455,32.352940,32.352940,30.218353,55444827
2020-02-28,31.774195,32.201138,30.863379,31.707781,29.615759,66057447
2020-03-02,32.172676,33.159393,31.736242,33.092979,30.909565,42034469
2020-03-03,33.377609,33.946869,32.125237,32.542694,30.395586,46174475
2020-03-04,33.301708,34.592030,33.159393,34.535103,32.256542,38712155
2020-03-05,33.823528,34.326378,33.358635,33.643265,31.423536,35096303
2020-03-06,32.922199,33.368122,32.371918,33.225807,31.033628,40931036
2020-03-09,31.745731,32.912712,31.461102,32.030361,29.917055,43183856
2020-03-10,32.798862,32.884251,31.318787,32.817837,30.652578,40548329
2020-03-11,32.030361,32.144215,30.037951,30.521822,28.508047,65350213
2020-03-12,28.918406,30.360531,28.462997,28.481974,26.602783,62731445
2020-03-13,29.667933,31.195446,28.681213,31.034157,28.986578,60553038
2020-03-16,28.406073,30.626186,28.130930,28.633776,26.744570,50995050
2020-03-17,30.018974,30.977230,29.022770,30.512335,28.499186,54220606
2020-03-18,29.193548,30.939280,28.757116,30.702087,28.676418,43884976
2020-03-19,30.569260,30.597723,28.472486,28.861481,26.957251,59820929
2020-03-20,28.728653,29.098673,27.428843,27.523720,25.707756,52488989
2020-03-23,27.286528,28.064516,26.451612,27.030361,25.246948,52853041
2020-03-24,27.998102,28.510435,27.419355,28.178368,26.319208,44466784
2020-03-25,27.988615,29.146111,27.514231,28.225805,26.363516,44601275
2020-03-26,28.358635,30.351044,28.349146,30.123341,28.135855,43269967
2020-03-27,29.222012,30.113852,29.089184,29.316889,27.382614,38290344
2020-03-30,29.459204,31.166983,29.459204,30.996204,28.951130,29943508
2020-03-31,30.740038,31.309298,30.588236,30.967743,28.924547,29466151
2020-04-01,30.284630,30.626186,29.914612,30.123341,28.135855,26709625
2020-04-02,30.265656,31.309298,30.123341,31.185959,29.128365,27186876
2020-04-03,30.958254,32.153702,30.958254,31.916510,29.810715,32837370
2020-04-06,32.182163,33.111954,32.049335,32.798862,30.634851,40503217
2020-04-07,33.206833,33.368122,31.869070,31.888046,29.784130,24226295
2020-04-08,32.248577,33.017078,31.726755,32.827324,30.661434,25523980
2020-04-09,33.235294,33.937382,33.064514,33.576851,31.361509,30648107
2020-04-13,34.117645,34.136623,32.941177,33.339657,31.139965,18270141
2020-04-14,34.089184,34.753323,33.529411,34.573055,32.291988,21845309
2020-04-15,34.212524,34.373814,33.757114,34.127136,31.875486,21312196
2020-04-16,34.269451,34.402279,33.757114,34.041744,31.795732,20657451
2020-04-17,34.629982,35.104362,34.259960,35.018974,32.708481,24404843
2020-04-20,34.516129,35.018974,34.231499,34.231499,31.972965,22530620
2020-04-21,33.946869,34.089184,33.557877,33.795067,31.565329,23975233
2020-04-22,35.066414,35.104362,34.269451,34.392788,32.123619,20182624
2020-04-23,34.421253,35.483871,34.421253,34.810246,32.513527,20185365
